"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
,,,,,,,,,,,,,,,,,,,,,-1.2916802368,-1.2869743325,-1.1192073057,"Afghanistan","asafg"
,,,,,,,,,,0.1138560937,0.4842850081,0.4273026573,0.1819881383,-0.4028505268,-0.330077064,-0.269707871,-0.3716728605,-0.3868475755,-0.4429371742,-0.358144031,-0.4456985406,-0.3847637775,-0.1957460324,"Albania","eualb"
-1.1554230652,-1.2927361324,-1.3758004122,-1.2354198907,-1.2599397324,-1.2047238432,-1.1200449826,-1.4656534644,-1.2416885578,-1.2645110461,-1.2949509075,-1.4863833515,-1.5504297877,-1.3365472926,-1.6798967395,-1.4941341486,-1.5645372896,-1.3404273866,-1.3707061162,-1.2042161676,-1.1725729799,-1.1934076185,-1.1218093143,-0.9029980203,"Algeria","afdza"
-1.4320364814,-1.9898841379,-2.154986813,-1.9504556859,-1.938318871,-1.9452568965,-1.5090990569,-1.8908117497,-1.8094327875,-1.7602038673,-1.8922123929,-1.4825625962,-1.2204117905,-0.7873067803,-1.4360603744,-1.1291712481,-1.2706864269,-1.4563630272,-1.5740904262,-1.3594998497,-1.250521359,-1.2210901216,-0.9835741792,-0.7710679759,"Angola","afago"
0.2420648323,0.2417338552,0.2529560532,0.2402510273,0.1185134791,0.0823086563,0.1379819286,0.0596533612,0.1687473141,0.2011841824,0.2249274189,0.2167104827,0.2075399736,0.145938957,0.1540412438,0.2067159116,0.2143464832,0.1445175046,0.071156646,-0.0066789672,-0.0474630177,-0.1206136964,-0.1636205358,-0.1032946913,"Argentina","saarg"
,,,,,,,,,,,,,,,0.3021151439,0.255767931,0.183690978,0.0533269643,-0.0837915588,-0.1841869411,-0.3196957704,-0.2388878972,-0.1361625483,"Armenia","asarm"
0.6374204202,0.5243176038,0.4287271275,0.2280491524,0.1171747756,0.1509831668,0.0550149268,0.0609656729,-0.0573882336,-0.0578338642,-0.1305689061,-0.2133926448,-0.3138110505,-0.453246915,-0.3126427216,-0.3251114879,-0.3576812565,-0.4898208489,-0.4826109415,-0.429258842,-0.5196041549,-0.5162418501,-0.5319568426,-0.4855343604,"Australia","ocaus"
1.4966658722,1.5015004284,1.5271615262,1.5938172675,1.6310604894,1.616792301,1.6990360394,1.6598019773,1.6385878451,1.5596311783,1.5362100054,1.5571214458,1.5834073797,1.627476452,1.5745988868,1.5606385574,1.5915463632,1.5870030526,1.5735911199,1.6160126305,1.5928799554,1.6200522323,1.6118557342,1.580094094,"Austria","euaut"
,,,-0.2338956202,-0.4319931974,-0.5330524337,-0.6366121273,-0.5897412962,-0.7033087285,-0.6613511276,-1.1996430029,-1.3279351458,-1.251603734,-0.8046220494,-0.8562766186,-0.9426971211,-0.9407992658,-0.6956277611,-0.7842308653,-0.7497024195,-0.896611162,-0.9652144727,-0.8944515666,-0.65154526,"Azerbaijan","asaze"
-1.7472585168,-1.6589076309,-1.2966872686,-1.3129399472,-1.2418575314,-1.2866210042,-1.1720427347,-1.0512991007,-1.0470575737,-0.7491079559,-0.7284442327,-0.737592691,-0.9612878161,-0.9780035925,-0.9866384835,-0.9309935397,-0.8116763302,-0.8285142221,-0.8076514466,-0.8238359272,-0.7958656481,-0.7243413809,-0.7896546778,-0.6843018388,"Bangladesh","asbgd"
